INO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
270001;Head of State;Sukarno;1933;1971;1971;SD;Weary Stiffneck;Very High;M577011;X
270002;Head of Government;Tjarda van Starkenborgh-Stachouwer;1933;1964;1964;SC;Flamboyant Tough Guy;Very High;M577002;X
270003;Foreign Minister;Hubertus Van Mook;1933;1964;1964;SC;Biased Intellectual;High;M577003;X
270004;Minister of Armament;Muhammad III Pontiak;1933;1964;1964;SC;Air Superiority Proponent;Medium;M577004;X
270005;Minister of Security;Fedde Schurer;1933;1964;1964;SC;Crime Fighter;High;M8113;X
270006;Head of Military Intelligence;Raymond Westerling;1933;1964;1964;SC;Naval Intelligence Specialist;Medium;M577006;X
270007;Chief of Staff;Murk Boerstra;1933;1964;1964;SC;School of Manoeuvre;Very High;L7802;X
270008;Chief of Army;Gerardus Berenschot;1933;1964;1964;SC;Static Defence Doctrine;Very High;L7801;X
270009;Chief of Navy;Conrad Helfrich;1933;1964;1964;SC;Base Control Doctrine;Very High;L7839;X
270010;Chief of Air Force;Ludolph van Oyen;1933;1964;1964;SC;Army Aviation Doctrine;Very High;L7859;X
270011;Head of State;Sukarno;1933;1971;1971;PA;Weary Stiffneck;Very High;M577011;X
270012;Head of State;Ferdinand Lumban Tobing;1933;1964;1964;SD;Autocratic Charmer;Very High;M577012;X
270013;Head of State;Sukarno;1933;1971;1971;LWR;Weary Stiffneck;Very High;M577011;X
270014;Head of Government;Muhammad Hatta;1933;1964;1964;PA;Political Protege;Very High;M577014;X
270015;Head of Government;Muhammad Thamrin;1933;1964;1964;SD;Smiling Oilman;Very High;M577015;X
270016;Head of Government;Amir Sjarifuddin;1933;1964;1964;LE;Naive Optimist;Medium;M577016;X
270017;Foreign Minister;Ahmad Subandrio;1933;1964;1964;PA;Ideological Crusader;Medium;M577017;X
270018;Foreign Minister;Hamengkubowono IX Yopgya;1943;1964;1964;PA;The Cloak N Dagger Schemer;Medium;M577018;X
270019;Foreign Minister;Sutan Sjahrir;1933;1964;1964;SD;Apologetic Clerk;Low;M577019;X
270020;Foreign Minister;Sukarjo Wiryopranato;1944;1964;1964;SD;Great Compromiser;Low;M577020;X
270021;Foreign Minister;Suryono Suripno;1933;1964;1964;LE;Iron Fisted Brute;High;M577021;X
270022;Minister of Armament;Sjarifudin Prawiranegara;1933;1964;1964;PA;Air to Sea Proponent;Low;M577022;X
270023;Minister of Armament;Dodechismo Djuanda;1944;1964;1964;PA;Tank Proponent;Low;M577023;X
270024;Minister of Armament;Haj Agus Salim;1945;1964;1964;PA;Administrative Genius;Low;M577024;X
270025;Minister of Armament;Amangwu VIII Jogarta;1943;1964;1964;SC;Air Superiority Proponent;Medium;M577025;X
270026;Minister of Armament;Danudirjia Setiabudi;1933;1964;1964;SD;Infantry Proponent;Low;M577026;X
270027;Minister of Armament;Lukman Dan Sardjono;1933;1964;1964;LE;Military Entrepreneur;High;M577027;X
270028;Minister of Security;D.W. Cokroaminoto;1933;1964;1964;PA;Prince of Terror;Medium;M577028;X
270029;Minister of Security;Ngabehi van Jogakarta;1946;1964;1964;SC;Man of the People;High;M577029;X
270030;Minister of Security;Arie Frederick Lasut;1933;1964;1964;SD;Back Stabber;Medium;M577030;X
270031;Minister of Security;Adam Malik;1945;1964;1964;SD;Compassionate Gentleman;Medium;M577031;X
270032;Minister of Security;S.M. Kartosuwirjo;1933;1964;1964;LE;Efficient Sociopath;High;M577032;X
270033;Minister of Security;D.N. Aidit;1945;1964;1964;LE;Silent Lawyer;High;M577033;X
270034;Head of Military Intelligence;Besar Sudirman;1933;1964;1964;PA;Logistics Specialist;High;M577034;X
270035;Head of Military Intelligence;Dr. Cipto Mangunkusomo;1938;1964;1964;PA;Technical Specialist;High;M577035;X
270036;Head of Military Intelligence;Mohammed Yamin;1933;1964;1964;SD;Industrial Specialist;High;M577036;X
270037;Head of Military Intelligence;T.N. Supratman;1933;1964;1964;LE;Political Specialist;Low;M577037;X
270038;Chief of Staff;Besar Sudirman;1933;1964;1964;PA;School of Mass Combat;High;M577034;X
270039;Chief of Staff;Gerardus Berenschot;1939;1964;1964;SC;School of Defence;Very High;L7801;X
270040;Chief of Staff;Hein Ter Poorten;1941;1964;1964;SC;School of Fire Support;Very High;L7819;X
270041;Chief of Staff;Hamid II Pontiak;1933;1964;1964;SD;School of Psychology;Low;M577041;X
270042;Chief of Staff;Tan Malaka;1933;1964;1964;LE;School of Mass Combat;High;M577042;X
270043;Chief of Army;Abdul Harris Nasution;1933;1964;1964;PA;Decisive Battle Doctrine;High;M577043;X
270044;Chief of Army;Hein Ter Poorten;1939;1964;1964;SC;Elastic Defence Doctrine;Very High;L7819;X
270045;Chief of Army;Rudolph Bakker;1941;1964;1964;SC;Armoured Spearhead Doctrine;Very High;L7800;X
270046;Chief of Army;Simon Spoor;1945;1964;1964;SC;Decisive Battle Doctrine;Very High;L7817;X
270047;Chief of Army;Uyrip Sumoharjo;1933;1964;1964;SD;Guns and Butter Doctrine;High;M577047;X
