POL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
60001;Head of State;Ignacy Moscicki;1933;1946;1946;PA;Stern Imperialist;High;M13001;X
60002;Head of Government;Marian Zyndram-Koscialkowski;1933;1946;1946;PA;Flamboyant Tough Guy;High;M13002;X
60003;Foreign Minister;Jozef Beck;1933;1944;1944;PA;General Staffer;High;M13003;X
60004;Minister of Armament;Tadeusz Kasprzycki;1933;1964;1964;PA;Military Entrepreneur;Medium;M13004;X
60005;Minister of Security;Wladyslaw Raczkiewicz;1933;1947;1947;PA;Crime Fighter;Medium;M13005;X
60006;Head of Military Intelligence;T. Pelczynski-Grzegorz;1933;1964;1964;PA;Logistics Specialist;High;M13006;X
60007;Chief of Staff;Edward Rydz-Smigly;1933;1941;1941;PA;School of Defence;High;M13007;X
60008;Chief of Army;Edward Rydz-Smigly;1933;1941;1941;PA;Decisive battle doctrine;High;M13007;X
60009;Chief of Navy;Jerzy Swirski;1933;1964;1964;PA;Open Seas Doctrine;Medium;M13009;X
60010;Chief of Air Force;Jozef Zajac;1933;1964;1964;PA;Air Superiority Doctrine;Medium;M13010;X
60011;Head of State;Kazimierz Sosnkowski;1939;1970;1970;SC;Resigned Generalissimo;High;M13032;X
60012;Head of State;Boleslaw Bierut;1945;1953;1953;LWR;Stern Imperialist;High;M13033;X
60013;Head of State;Boleslaw Bierut;1947;1953;1953;ST;Barking Buffoon;High;M13033;X
60014;Head of State;Boleslaw Wieniawa-Dlugoszowski;1939;1942;1942;SL;Benevolent Gentleman;High;M13035;X
60015;Head of State;Ignacy Jan Paderewski;1933;1941;1941;SC;Weary Stiffneck;High;M13036;X
60016;Head of State;Wladyslaw Raczkiewicz;1939;1947;1947;ML;Insignificant Layman;High;M13005;X
60017;Head of State;Wanda Wasilewska;1937;1964;1964;LWR;Die-hard Reformer;High;M13038;X
60018;Head of State;Wladyslaw Gomulka;1942;1983;1983;LWR;Popular Figurehead;High;M13039;X
60019;Head of State;Walery Slawek;1933;1939;1959;PA;Insignificant Layman;High;M13040;X
60020;Head of Government;Felicjan Slawoj-Skladkowski;1933;1962;1962;PA;Naive Optimist;High;M13041;X
60021;Head of Government;Wojciech Korfanty;1933;1939;1939;SL;Happy Amateur;High;M13042;X
60022;Head of Government;Wladyslaw Sikorski;1939;1943;1955;SC;Old General;High;M13043;X
60023;Head of Government;Stanislaw A. Neyman;1939;1964;1964;SD;Smiling Oilman;High;M13044;X
60024;Head of Government;Mieczyslaw Michalowicz;1942;1964;1964;SD;Ambitious Union Boss;High;M13045;X
60025;Head of Government;Stanislaw Mikolajczyk;1943;1967;1967;ML;Corporate Suit;High;M13046;X
60026;Head of Government;Tomasz Arciszewski;1944;1955;1955;SL;Political Protege;High;M13047;X
60027;Head of Government;Edward Osobka-Morawski;1945;1998;1998;LWR;Political Protege;High;M13022;X
60028;Head of Government;Jozef Cyrankiewicz;1947;1990;1990;ST;Silent Workhorse;High;M13049;X
60029;Head of Government;Roman Dmowski;1933;1939;1939;FA;Backroom Backstabber;High;M13050;X
60030;Head of Government;Tadeusz Bielecki;1933;1964;1964;NS;Happy Amateur;High;M13051;X
60031;Head of Government;Eugeniusz Kwiatkowski;1937;1975;1975;SL;Naive Optimist;High;M13052;X
60032;Head of Government;Marceli Nowotko;1941;1964;1964;ST;Political Protege;High;M13053;X
